קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
116,56,56,אל חדב,155/098,יהודה,סרור גבריל,1970,ניאולית קק,,חירבה,כפרי?,,,צור בלבד,,"חא לז, עמ 24",,,,,,,,,,,,,,,,
117,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,ביזנטית,,מרגלות תל,כפרי,,,שרידי בנייה,גם קברים,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
118,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,ברונזה ביניימית,,מרגלות תל,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
119,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,ברונזה מאוחרת,,מרגלות תל,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
120,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,ברזל 2ב,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
121,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,פרסית,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
122,57,57,אל חדיתה,015258/1454,יהודה,ברנד אתי,9-12.1995,רומית,,מרגלות תל,כפרי,,,שרידי בנייה,גם מערות קבורה,"חא 107, עמ 66-68",,,,,,,,,,,,,,,,
123,55,55,אל חרבה,16715/18480,שומרון,שיאון עופר וריקלין שמעון,12.1990.,ביזנטית,,מערה,קבר,,,קבר,,"חא צז, עמ 94",,,,,,,,,,,,,,,,
124,1670,1698,אל חרבה,1379/1424,חוף הים הדרומי,קודש מיכל,10.1999,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 80-81",,,,,,,,,,,,,,,,
125,1670,1698,אל חרבה,1379/1424,חוף הים הדרומי,קודש מיכל,10.1999,רומית - ביזנטית,,חירבה,קבר,,,קבר,,"חא 114, עמ' 80-81",,,,,,,,,,,,,,,,
126,1670,1698,אל חרבה,1379/1424,חוף הים הדרומי,קודש מיכל,10.1999,ביזנטית,,חירבה,קבר,,,קבר,,"חא 114, עמ' 80-81",,,,,,,,,,,,,,,,
127,58,58,אל ירכה,1933/1596,עמק הירדן,פורת יוסף,4.1978,מוסלמי קדום,מאה 7-8 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא סז-סח, עמ 36-37",,,,,,,,,,,,,,,,
128,59,59,אל כורסי,247/211,רמת הגולן,,4.1970.,ביזנטית,מאה 6 לספירה,חירבה,כפרי,,,שרידי בנייה,כנסייה,"חא לט, עמ 9",,,,,,,,,,,,,,,,
129,60,60,אל מחרוק,1983/1710,יהודה,דמתי עמנואל,1972,ברונזה קדומה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא נ, עמ 9",,,,,,,,,,,,,,,,
130,60,60,אל מחרוק,1983/1710,יהודה,דמתי עמנואל,1972,ברונזה קדומה 3,,חירבה,כפרי,,,שרידי בנייה,,"חא נ, עמ 9",,,,,,,,,,,,,,,,
131,61,61,אל מכר,1633/2598,חוף הים הצפוני,ליברמן רוני ואביעם מוטי,3.1991,ביזנטית,מאה 5-6 לספירה,מערה,קבר,,,קבר,,"חא 99, עמ 100",,,,,,,,,,,,,,,,
132,62,62,אל קצר,1889/2297,גליל תחתון,ארנון כרמלה,8.1994,רומית,מאה 3 לספירה,מערה,קבר,,,קבר,,"חא 106, עמ 49-50",,,,,,,,,,,,,,,,
133,63,63,אל קצר,1839/1490,גליל תחתון,גולדפוס ח,3.1982,ביזנטית,מאה 5-6 לספירה,מצד,כפרי,,,שרידי בנייה,,"חא פב, עמ 38-39",,,,,,,,,,,,,,,,
134,64,64,אלון שבות,1625/1188,יהודה,עמית דוד,1986,רומית,מאה 1-2 לספירה,חירבה,כפרי,,,שרידי בנייה,מקווה,"חא 101-102, עמ 96-97",,,,,,,,,,,,,,,,
135,65,65,אלונים,163/236,עמק יזרעאל,דרוקס אדם,1981,ביזנטית,מאה 3-6 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא פג, עמ 15-16",,,,,,,,,,,,,,,,
136,65,65,אלונים,163/236,עמק יזרעאל,דרוקס אדם,1981,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,,"חא פג, עמ 15-16",,,,,,,,,,,,,,,,
137,66,66,אלקוש,163/236,גליל עליון,ויטו פאני,6.1973,ביזנטית,מאה 4 לספירה,מערה,קבר,,,קבר,,"חא מח-מט, עמ 28-29",yes,,,,,,,,,,,,,,,
138,1671,1721,אמת המים לתל תנינים,14170/21543,חוף הים הדרומי,פורת יוסף,7.2000.,ביזנטית,,אמת מים,שרידים חקלאיים,,,שרידי בנייה,,"חא 114, עמ' 136-137",,,,,,,,,,,,,,,,
139,67,67,אניעם,262/219,רמת הגולן,מעוז צבי,5.1978,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא סז-סח, עמ 10",,,,,,,,,,,,,,,,
140,67,67,אניעם,262/219,רמת הגולן,מעוז צבי,5.1978,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא סז-סח, עמ 10",,,,,,,,,,,,,,,,
141,67,67,אניעם,262/219,רמת הגולן,מעוז צבי,5.1978,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא סז-סח, עמ 10",,,,,,,,,,,,,,,,
142,68,68,אעבלין,168/247,גליל תחתון,יתאח מישל,11.1997,רומית,בית שני,מערה,כפרי,,,שרידי בנייה,מערכת מסתור,"חא 110, עמ 112-113",,,,,,,,,,,,,,,,
143,68,69,אעבלין,1683/2475,גליל תחתון,מוקארי עבדאללה,12.1991,ביזנטית,,מערה,כפרי,,,שרידי בנייה,מערכת תת קרקעית,"חא 109, עמ 24-26",,,,,,,,,,,,,,,,
144,68,69,אעבלין,1683/2475,גליל תחתון,מוקארי עבדאללה,12.1991,עותמנית,מאה 17-19 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 24-26",,,,,,,,,,,,,,,,
145,68,69,אעבלין,1683/2475,גליל תחתון,מוקארי עבדאללה,12.1991,צלבני,,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 24-26",,,,,,,,,,,,,,,,
146,68,69,אעבלין,1683/2475,גליל תחתון,מוקארי עבדאללה,12.1991,רומית,,מערה,כפרי,,,שרידי בנייה,מערכת תת קרקעית,"חא 109, עמ 24-26",,,,,,,,,,,,,,,,
147,68,70,אעבלין,168/247,גליל תחתון,פייג נורית,"3-4.1984, 3.1985",רומית,מאה 1-3 לספירה,מערה,קבר,,,קבר,,"חא פו, עמ 12",,,,,,,,,,,,,,,,
148,68,71,אעבלין,16840/24780,גליל תחתון,שיאון דני,4.1994,רומית - ביזנטית,,בית קברות,קבר,,,קבר,,"חא 104, עמ 40-41",,,,,,,,,,,,,,,,
149,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,ביזנטית,מאה 6-7 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
150,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,הלניסטית,מאה 2 לפנהס,חירבה,כפרי?,,,קרמיקה בלבד,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
151,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,מוסלמי קדום,מאה 7-11 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
152,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,פרסית,מאה 5-4 לפנהס,חירבה,כפרי?,,,קרמיקה בלבד,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
153,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,צלבני,מאה 13 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
154,72,72,אפולוניה,13191/17804,חוף הים הדרומי,רול ישראל,1977,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא סה-סו, עמ 18-19",,,,,,,,,,,,,,,,
155,72,73,אפולוניה- ארסוף,13191/17804,חוף הים הדרומי,איילון איתן,12.1980.,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,,"חא עד-עה, עמ 16-17",,,,,,,,,,,,,,,,
156,72,73,אפולוניה- ארסוף,13191/17804,חוף הים הדרומי,איילון איתן,12.1980.,מוסלמי קדום,,חירבה,עירוני,,,שרידי בנייה,,"חא עד-עה, עמ 16-17",,,,,,,,,,,,,,,,
157,72,73,אפולוניה- ארסוף,13191/17804,חוף הים הדרומי,איילון איתן,12.1980.,פרסית,,חירבה,קבר,,,קבר,,"חא עד-עה, עמ 16-17",,,,,,,,,,,,,,,,
158,72,73,אפולוניה- ארסוף,13191/17804,חוף הים הדרומי,איילון איתן,12.1980.,צלבני,,חירבה,עירוני,,,שרידי בנייה,,"חא עד-עה, עמ 16-17",,,,,,,,,,,,,,,,
159,72,73,אפולוניה- ארסוף,13191/17804,חוף הים הדרומי,איילון איתן,12.1980.,רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא עד-עה, עמ 16-17",,,,,,,,,,,,,,,,
160,1081,1081,"אפולוניה, מצודת ארסוף",13191/17804,חוף הים הדרומי,פורת יוסף,2.1988,ממלוכית,,מנהרה,עירוני,,,שרידי בנייה,,"חא צב, עמ 75",,,,,,,,,,,,,,,,
161,74,74,אפיקים,204/232,גליל תחתון,צורי נחמיה,12.1965,ברונזה מאוחרת,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא יז, עמ 23-24",,,,,,,,,,,,,,,,
162,74,74,אפיקים,204/232,גליל תחתון,צורי נחמיה,12.1965,ברונזה תיכונה 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא יז, עמ 23-24",,,,,,,,,,,,,,,,
163,74,74,אפיקים,204/232,גליל תחתון,צורי נחמיה,12.1965,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא יז, עמ 23-24",,,,,,,,,,,,,,,,
164,74,74,אפיקים,204/232,גליל תחתון,צורי נחמיה,12.1965,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא יז, עמ 23-24",,,,,,,,,,,,,,,,
165,75,75,אפרת,16425/11785,יהודה,עמית דוד,1989,ברונזה תיכונה 2א,,מערה,קבר,,,קבר,שתי מערות קבורה,"חא צה, עמ 64-65",,,,,,,,,,,,,,,,
166,76,76,ארד אל מועלק א,15040-52/14553-62,יהודה,ארגמן יצחק,11.1995,רומית - ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,מתקן,,"חא 108, עמ 102-104",,,,,,,,,,,,,,,,
167,76,77,ארד אל מועלק ב,15040-52/14605-28,יהודה,אסף אפרת,2.1995,ברזל,,חירבה,כפרי,,,קרמיקה בלבד,,"חא 108, עמ 104-105",,,,,,,,,,,,,,,,
168,76,77,ארד אל מועלק ב,15040-52/14605-28,יהודה,אסף אפרת,2.1995,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 104-105",,,,,,,,,,,,,,,,
169,76,78,ארד אל מועלק ג,15160/14665,יהודה,גרשטיין חנה,1.1996,רומית,מאה 1 לפנהס,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 105-106",,,,,,,,,,,,,,,,
170,79,79,אריאל,16940/16780,שומרון,ריקלין שמעון,4.1991,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 107",,,,,,,,,,,,,,,,
171,80,80,"אשדוד, אתר 637",133/129,חוף הים הדרומי,פורת יוסף,10-11.1969,פרסית,מאה 6-5 לפנהס,מצד,כפרי,,,שרידי בנייה,,"חא לג, עמ 22-23",,,,,,,,,,,,,,,,
172,81,1806,"אשדוד, החוף הדרומי",1138/1309,חוף הים הדרומי,נחשוני פרחיה,7-10.1995,ברונזה מאוחרת 3,"מאה 13 לפנה""ס",חירבה,כפרי,,,שרידי בנייה,,"חא 113, עמ' 157",,,,,,,,,,,,,,,,
173,81,81,"אשדוד, חוף דרומי",13360-85/12980-3110,חוף הים הדרומי,נדלמן יונתן,1.1994,ברונזה מאוחרת 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 116",,,,,,,,,,,,,,,,
174,82,82,אשדות יעקב,204/229,עמק הירדן,צורי נחמיה,1966,כלקולית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא יז, עמ 22-23",,,,,,,,,,,,,,,,
175,83,83,אשקלון,11080/12160,חוף הים הדרומי,ישראל יגאל,5-7.1991,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,אחוזה חקלאית,"חא 100, עמ 86-91",,,,,,,,,,,,,,,,
176,83,83,אשקלון,11080/12160,חוף הים הדרומי,ישראל יגאל,5-7.1991,ברונזה תיכונה 1,,חירבה,כפרי,כ 40 דונם,כ 400 דונם,שרידי בנייה,,"חא 100, עמ 86-91",,,,,,,,,,,,,,,,
177,83,83,אשקלון,11080/12160,חוף הים הדרומי,ישראל יגאל,5-7.1991,ברונזה תיכונה 2ב,,בית קברות,קבר,,,קבר,,"חא 100, עמ 86-91",,,,,,,,,,,,,,,,
178,83,83,אשקלון,11080/12160,חוף הים הדרומי,ישראל יגאל,5-7.1991,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 86-91",yes,,,,,,,,,,,,,,,
179,83,83,אשקלון,11080/12160,חוף הים הדרומי,ישראל יגאל,5-7.1991,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 86-91",yes,,,,,,,,,,,,,,,
180,84,84,אשקלון,110/110,חוף הים הדרומי,מירון דב,4.1976,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא נט-ס, עמ 40",,,,,,,,,,,,,,,,
181,85,85,אשקלון,116/105,חוף הים הדרומי,מירון דב,5.1974,ביזנטית,,חירבה,קבר,,,קבר,,"חא נא-נב, עמ 27-28",,,,,,,,,,,,,,,,
182,87,87,אשקלון,10975/11968,חוף הים הדרומי,קוגן זהבי אלנה,7.1993,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,וגם קבר,"חא 104, עמ 110-11",yes,,,,,,,,,,,,,,,
183,1672,1821,אשקלון,10763/11870,חוף הים הדרומי,ורגה דניאל,5.1999,ביזנטית,,חירבה,קבר,,,קבר,לאו דוקא הממצא הקראמי שייך למבנה הקבורה מפאת מצב השתמרותו,"חא 113, עמ' 177",,,,,,,,,,,,,,,,
184,88,88,אשקלון,10815-25/11970-80,חוף הים הדרומי,נחשוני פרחיה,6.1995,ביזנטית,,חירבה,קבר,,,קבר,,"חא 106, עמ 172-173",,,,,,,,,,,,,,,,
185,89,89,"אשקלון, א נבי חוסין",10790-830/11845-95,חוף הים הדרומי,קול יעקב שלמה ושור יואב,12.1996,ביזנטית,,חירבה,קבר,,,קבר,שלוש מבני קבורה ובור אשר לא ניתן לתיארוך,"חא 110, עמ 94-95",,,,,,,,,,,,,,,,
186,90,90,"אשקלון, אל גורה",108225/119440,חוף הים הדרומי,וולך צבי,8.1993,רומית - ביזנטית,,בית קברות,קבר,,,קבר,,"חא 108, עמ 163",,,,,,,,,,,,,,,,
187,90,91,"אשקלון, אל גורה",10812/11987,חוף הים הדרומי,נחשוני פרחיה,2.1996,ביזנטית,מאה6-7 לספירה,חירבה,כפרי?,,2*2 מ',מתקן,בור אשפה,"חא 110, עמ 120-121",,,,,,,,,,,,,,,,
188,90,1711,"אשקלון, אל גורה",1083/1195,חוף הים הדרומי,עין גדי מיקי,10.1999,ביזנטית,,חירבה,כפרי?,,,מתקן,,"חא 114, עמ' 110-111",yes,,,,,,,,,,,,,,,
189,92,92,"אשקלון, אפרידר",1085-7/1210-2,חוף הים הדרומי,בראון אליוט וגופנא רם,1993,ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 85-86",,,,,,,,,,,,,,,,
190,92,92,"אשקלון, אפרידר",1085-7/1210-2,חוף הים הדרומי,בראון אליוט וגופנא רם,1993,ניאולית קראמית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 85-86",,,,,,,,,,,,,,,,
191,92,93,"אשקלון, אפרידר",1086/1212,חוף הים הדרומי,ברנדל ברוך וגופנא רם,9-12.1987,ברונזה קדומה 1,,חירבה,כפרי,כ 25 דונם,,שרידי בנייה,,"חא 99, עמ 80",,,,,,,,,,,,,,,,
192,92,94,"אשקלון, אפרידר א",111/120,חוף הים הדרומי,גולני אמיר ומילבסקי יניר,8-9.1995,ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 118-120",,,,,,,,,,,,,,,,
193,92,94,"אשקלון, אפרידר א",111/120,חוף הים הדרומי,גולני אמיר ומילבסקי יניר,8-9.1995,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 118-120",,,,,,,,,,,,,,,,
194,92,95,"אשקלון, אפרידר ב",111/120,חוף הים הדרומי,ישראלי שושנה,9.1996,ביזנטית,מאה 3-6 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 120-123",,,,,,,,,,,,,,,,
195,92,95,"אשקלון, אפרידר ב",111/120,חוף הים הדרומי,ישראלי שושנה,9.1996,מוסלמי קדום,מאה 9-11 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 120-123",,,,,,,,,,,,,,,,
196,92,95,"אשקלון, אפרידר ב",111/120,חוף הים הדרומי,ישראלי שושנה,9.1996,רומית,מאה 1 לפנהס- 2 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 120-123",,,,,,,,,,,,,,,,
197,1673,1709,"אשקלון, אפרידר וברנע",10815/12135,חוף הים הדרומי,ורגה דניאל,6.1996,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 105-108",,,,,,,,,,,,,,,,
198,1673,1709,"אשקלון, אפרידר וברנע",10815/12135,חוף הים הדרומי,ורגה דניאל,6.1996,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 105-108",,,,,,,,,,,,,,,,
199,1673,1709,"אשקלון, אפרידר וברנע",10815/12135,חוף הים הדרומי,ורגה דניאל,6.1996,ביזנטית,,חירבה,קבר,,,קבר,,"חא 114, עמ' 105-108",,,,,,,,,,,,,,,,
200,1673,1709,"אשקלון, אפרידר וברנע",10815/12135,חוף הים הדרומי,ורגה דניאל,6.1996,מוסלמי קדום,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 105-108",,,,,,,,,,,,,,,,
201,1673,1710,"אשקלון, אפרידר וברנע ב'",10816/12025,חוף הים הדרומי,ורגה דניאל,12.1996-1.1997,הלניסטית,,מרגלות תל,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 108-110",,,,,,,,,,,,,,,,
202,1673,1710,"אשקלון, אפרידר וברנע ב'",10816/12025,חוף הים הדרומי,ורגה דניאל,12.1996-1.1997,רומית,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא 114, עמ' 108-110",,,,,,,,,,,,,,,,
203,1673,1710,"אשקלון, אפרידר וברנע ב'",10816/12025,חוף הים הדרומי,ורגה דניאל,12.1996-1.1997,ביזנטית,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא 114, עמ' 108-110",,,,,,,,,,,,,,,,
204,1674,1708,"אשקלון, ברנע",11061-3/12172-3,חוף הים הדרומי,זלין אלכסיי,1.2000.,ברונזה תיכונה 2א,,בית קברות,קבר,,,קבר,,"חא 114, עמ' 104-105",,,,,,,,,,,,,,,,
205,1674,1708,"אשקלון, ברנע",11061-3/12172-3,חוף הים הדרומי,זלין אלכסיי,1.2000.,ברונזה תיכונה 2ב,,בית קברות,קבר,,,קבר,,"חא 114, עמ' 104-105",,,,,,,,,,,,,,,,
206,1674,1807,"אשקלון, ברנע",10955/12270,חוף הים הדרומי,זלין אלכסיי,7.1998,ביזנטית,מאה 5-7 לספירה,חירבה,כפרי,,,מתקן,גתות,"חא 113, עמ' 158-159",,,,,,,,,,,,,,,,
